"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"216","Tyler Allgeier","RB","ATL",86,9.44,0.216,69.2,97.4,-27.6,-14.9,-43.9,210,172,256,47,"11",158,6.35,10
"217","Matthew Wright","K","CAR",120,8.52,0.949,109,133,-27.6,-29,-25.2,211,209,209,30,"4",NA,NA,35
"218","Rico Dowdle","RB","CAR",85.8,16.1,1.77,64.9,115,-27.8,-19.2,-26.2,212,186,213,48,"12",157,3.55,45
"219","Matthew Stafford","QB","LAR",245,21.6,5.67,218,278,-28.2,-40.5,-19.1,213,236,188,21,"8",147,4.45,57
"220","Dustin Hopkins","K","CLE",119,14.3,0.224,97.9,138,-28.6,-40.5,-20.8,214,235,197,31,"4",170,0,87
"221","Andres Borregales","K","NE",119,15.9,30.9,91.7,136,-28.8,-46.6,-22,215,249,202,32,"5",170,0,94
"222","Amari Cooper","WR","FA",99,NA,3.36,NA,NA,-29.1,NA,NA,216,NA,NA,54,"8",163,4.65,99
"223","Trey Benson","RB","ARI",84,16,2.69,58.5,103,-29.6,-25.6,-38.2,217,203,238,49,"12",140,4.52,38
"224","Isaac Guerendo","RB","SF",81.4,15.4,0.077,67.7,105,-32.3,-16.5,-36.4,218,177,234,50,"12",147,3.52,42
"225","Jaydon Blue","RB","DAL",81.3,21.2,2.6,54.6,110,-32.4,-29.5,-31.1,219,210,223,51,"12",138,6.46,87
"226","Will Dissly","TE","LAC",54.8,13.9,1.03,33.2,71.4,-32.4,-38.4,-33.5,220,231,228,35,"9",211,0.756,77
"227","Adam Thielen","WR","CAR",95.6,13.9,0.931,79,114,-32.5,-24.9,-43.4,221,200,254,55,"8",163,2.28,57
"228","Keenan Allen","WR","LAC",94.7,18.8,2.81,73.2,118,-33.4,-30.6,-39.6,222,216,243,56,"8",131,4.13,96
"229","Tyler Conklin","TE","LAC",53.7,17.2,0.538,36.5,83.7,-33.5,-35.1,-21.2,223,225,199,36,"9",236,0.312,86
"230","Bryce Young","QB","CAR",239,16,0.0263,218,263,-33.9,-40.6,-34,224,237,229,22,"8",145,4.5,34
"231","Geno Smith","QB","LVR",239,15.8,0.472,216,258,-33.9,-41.8,-39.2,225,238,240,23,"8",150,3.68,29
"232","Tua Tagovailoa","QB","MIA",239,20.6,2.84,211,268,-34.4,-47.6,-28.9,227,253,219,24,"8",135,5.05,43
"233","Nick Chubb","RB","HOU",78.7,23.1,4.03,51,118,-35,-33.1,-22.9,229,220,204,52,"12",147,6.14,92
"234","Emeka Egbuka","WR","TB",91.9,20.2,3.52,67,131,-36.2,-36.8,-26.6,231,229,215,57,"8",116,21.4,86
"235","Michael Penix Jr.","QB","ATL",236,12.5,4.97,223,258,-37.2,-34.7,-39.4,233,224,242,25,"9",143,4.89,17
"236","Kareem Hunt","RB","KC",74.6,12.6,2.77,60,97.9,-39,-24.1,-43.4,235,198,253,53,"12",153,3.02,54
"237","Xavier Legette","WR","CAR",88.4,13.6,0.19,67.2,106,-39.7,-36.6,-51.1,236,228,270,58,"8",163,1.6,49
"238","Alec Pierce","WR","IND",88.2,28.9,0.896,49.7,125,-39.9,-54.2,-32.9,237,273,226,59,"9",192,2.97,94
"239","Brandon Aiyuk","WR","SF",87.3,46.7,0.128,7.36,160,-40.8,-96.5,2.1,238,477,92,60,"9",129,6.36,99
