Unnamed: 0,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
40,Ladd McConkey,WR,LAC,217.0,17.5,7.91,196.0,246.0,52.4,60.0,47.7,40,36.0,41.0,12,3,43.9,21.4,19.0
41,TreVeyon Henderson,RB,NE,184.0,28.2,3.21,150.0,227.0,51.8,45.6,65.9,41,46.0,33.0,21,7,60.8,31.9,72.0
42,Aaron Jones,RB,MIN,181.0,13.9,0.136,157.0,201.0,48.6,53.0,39.3,42,41.0,45.0,22,7,67.6,15.9,8.0
43,David Montgomery,RB,DET,180.0,14.4,2.34,162.0,199.0,48.5,57.6,38.0,43,38.0,48.0,23,7,62.4,14.2,6.0
44,Tony Pollard,RB,TEN,178.0,11.7,4.16,156.0,190.0,46.1,51.2,28.5,44,42.0,55.0,24,7,79.6,12.1,4.0
45,Jaxon Smith-Njigba,WR,SEA,209.0,20.1,0.945,179.0,238.0,44.5,43.3,39.3,45,49.0,44.0,13,3,51.0,17.4,42.0
46,Tee Higgins,WR,CIN,208.0,20.4,0.805,172.0,231.0,43.6,36.6,32.0,46,56.0,52.0,14,3,38.8,23.2,32.0
47,Mike Evans,WR,TB,207.0,12.9,1.95,192.0,227.0,42.8,56.6,28.7,47,39.0,54.0,15,4,39.2,25.9,12.0
48,Joe Mixon,RB,HOU,174.0,28.6,2.25,130.0,210.0,42.0,26.1,49.2,48,62.0,39.0,25,7,64.5,17.0,92.0
49,Terry McLaurin,WR,WAS,205.0,15.7,0.109,190.0,232.0,40.8,54.0,33.9,49,40.0,51.0,16,4,50.0,18.1,31.0
50,Davante Adams,WR,LAR,205.0,22.1,6.92,181.0,239.0,40.7,45.6,40.1,50,47.0,43.0,17,4,39.2,29.4,40.0
51,Sam LaPorta,TE,DET,157.0,13.2,6.39,142.0,178.0,40.5,43.5,38.0,51,48.0,47.0,4,2,51.8,17.2,14.0
52,RJ Harvey,RB,DEN,172.0,29.3,4.5,126.0,204.0,39.7,21.5,42.7,52,71.0,42.0,26,7,70.2,23.7,77.0
53,Tyrone Tracy,RB,NYG,167.0,23.0,4.2,141.0,199.0,35.2,36.8,37.3,53,55.0,49.0,27,8,93.6,8.22,48.0
54,Mark Andrews,TE,BAL,151.0,11.8,3.93,135.0,167.0,34.1,37.3,27.3,54,54.0,56.0,5,2,72.2,10.2,20.0
55,Marvin Harrison Jr.,WR,ARI,198.0,15.8,3.04,173.0,219.0,33.8,37.5,20.6,55,53.0,62.0,18,4,39.4,27.0,28.0
56,Isiah Pacheco,RB,KC,163.0,22.8,7.79,128.0,190.0,31.0,23.6,29.0,56,68.0,53.0,28,8,75.3,13.0,34.0
57,Garrett Wilson,WR,NYJ,195.0,12.5,2.47,178.0,216.0,30.8,42.5,17.9,57,50.0,66.0,19,4,39.3,29.0,10.0
58,T.J. Hockenson,TE,MIN,147.0,9.17,0.647,133.0,158.0,30.1,35.1,18.1,58,57.0,65.0,6,2,72.4,10.1,6.0
59,Travis Kelce,TE,KC,146.0,15.4,9.58,121.0,163.0,29.5,22.8,23.0,59,69.0,59.0,7,3,65.1,17.2,34.0
60,Patrick Mahomes,QB,KC,302.0,14.5,4.18,283.0,320.0,28.5,24.5,22.9,60,64.0,60.0,6,4,42.6,21.8,14.0
61,DK Metcalf,WR,PIT,193.0,5.13,0.254,186.0,201.0,28.3,50.0,2.26,61,43.0,114.0,20,4,49.2,22.9,1.0
62,D.J. Moore,WR,CHI,192.0,17.5,2.92,167.0,219.0,28.0,30.7,20.1,62,60.0,64.0,21,4,54.0,18.8,33.0
63,Courtland Sutton,WR,DEN,189.0,13.7,3.5,177.0,215.0,25.1,41.2,16.9,63,52.0,67.0,22,5,67.0,15.0,24.0
64,Kyler Murray,QB,ARI,297.0,22.7,4.5,271.0,333.0,24.3,12.4,35.6,64,83.0,50.0,7,5,74.6,10.5,63.0
65,Brian Robinson,RB,WAS,155.0,21.6,2.01,121.0,182.0,23.2,16.2,20.3,65,78.0,63.0,29,8,86.0,8.86,28.0
66,Xavier Worthy,WR,KC,186.0,20.0,1.42,161.0,210.0,21.6,24.9,11.2,66,63.0,75.0,23,5,65.6,10.9,61.0
67,Kaleb Johnson,RB,PIT,153.0,26.0,0.857,121.0,186.0,21.2,17.1,24.4,67,76.0,58.0,30,8,74.9,26.8,59.0
68,Jaylen Warren,RB,PIT,152.0,16.4,16.5,134.0,178.0,20.3,30.0,16.6,68,61.0,69.0,31,9,101.0,6.16,15.0
69,DeVonta Smith,WR,PHI,185.0,11.8,1.27,170.0,205.0,20.2,34.5,6.35,69,59.0,90.0,24,5,58.3,16.9,21.0
70,David Njoku,TE,CLE,136.0,9.67,12.1,120.0,146.0,19.9,22.1,5.78,70,70.0,94.0,8,4,95.6,6.32,11.0
71,Baker Mayfield,QB,TB,293.0,13.2,4.21,275.0,308.0,19.8,17.2,11.0,71,75.0,76.0,8,5,64.7,11.2,20.0
72,Zay Flowers,WR,BAL,183.0,14.0,0.644,160.0,201.0,18.9,24.5,2.72,72,65.0,112.0,25,5,67.2,10.4,25.0
73,Calvin Ridley,WR,TEN,183.0,13.6,2.3,171.0,204.0,18.3,34.9,5.07,73,58.0,97.0,26,5,73.5,11.9,22.0
75,Brandon Aubrey,K,DAL,164.0,14.4,14.0,138.0,181.0,16.6,-0.122,22.7,75,131.0,61.0,1,1,112.0,4.18,32.0
76,Jameson Williams,WR,DET,180.0,16.2,2.58,160.0,206.0,16.0,24.4,7.99,76,66.0,84.0,27,5,73.9,9.12,38.0
77,Bo Nix,QB,DEN,289.0,18.8,6.43,261.0,314.0,15.6,3.32,16.7,77,105.0,68.0,9,5,75.1,11.3,31.0
79,Jerry Jeudy,WR,CLE,178.0,19.7,5.83,154.0,215.0,13.4,18.5,16.2,79,72.0,71.0,28,5,88.9,9.29,50.0
88,Brock Purdy,QB,SF,282.0,11.2,3.6,265.0,296.0,9.14,6.72,-0.828,87,97.0,137.0,10,6,91.4,6.48,37.0
92,Tucker Kraft,TE,GB,124.0,14.1,0.445,99.8,146.0,7.8,1.73,6.18,91,116.0,91.0,9,4,115.0,4.13,31.0
93,George Pickens,WR,DAL,172.0,13.3,0.272,154.0,190.0,7.57,17.7,-8.63,92,74.0,211.0,29,5,71.4,11.7,29.0
94,Evan Engram,TE,DEN,124.0,14.0,1.07,104.0,144.0,7.35,5.47,3.84,93,98.0,104.0,10,4,105.0,8.75,37.0
95,Rashee Rice,WR,KC,172.0,28.3,2.6,140.0,211.0,7.3,3.87,13.0,94,103.0,73.0,30,5,66.0,14.4,85.0
98,Tyler Warren,TE,IND,123.0,9.77,4.75,113.0,140.0,6.28,15.3,0.0,96,80.0,130.0,11,5,115.0,10.1,29.0
99,Justin Herbert,QB,LAC,279.0,15.0,0.984,260.0,301.0,5.54,1.53,4.01,97,118.0,102.0,11,6,110.0,8.03,51.0
102,Jakobi Meyers,WR,LVR,169.0,7.02,1.92,160.0,178.0,4.7,23.8,-20.5,100,67.0,348.0,31,6,103.0,7.54,6.0
103,Justin Fields,QB,NYJ,278.0,10.5,4.55,266.0,297.0,4.55,8.28,0.0,101,93.0,130.0,12,6,101.0,6.66,74.0
104,Austin Ekeler,RB,WAS,136.0,15.8,0.103,113.0,161.0,3.89,9.14,0.0,102,92.0,130.0,32,9,137.0,4.3,42.0
105,Javonte Williams,RB,DAL,136.0,21.8,2.32,95.0,159.0,3.79,-9.27,-2.69,103,216.0,155.0,33,9,114.0,7.85,66.0
108,Broncos,DST,DEN,97.0,9.93,0.946,87.2,113.0,3.51,5.19,6.46,105,99.0,89.0,1,1,112.0,2.46,3.0
110,Travis Hunter,WR,JAC,167.0,24.7,0.129,136.0,204.0,2.78,0.137,5.88,107,127.0,92.0,32,6,70.2,24.7,71.0
